Subset      Reference   Calculated
BH76            29.60    30.63
BH76            -2.70    -3.48
BH76            17.60    18.73
BH76            11.00     3.81
BH76            47.70    48.85
BH76            14.60     2.66
BH76            10.90    15.26
BH76             3.20   -11.95
BH76            22.80    38.90
BH76             2.00    -2.10
BH76            42.00    48.21
BH76             6.40     6.33
BH76            33.00    37.97
BH76            48.10    69.77
BH76            33.00    39.63
BH76             6.10    -1.56
BH76             8.00    11.73
BH76             5.20     8.41
BH76            21.60    10.30
BH76            11.90    13.97
BH76            15.00    14.33
BH76             6.30     9.39
BH76            19.50    10.92
BH76             9.70     9.34
BH76             9.70     9.34
BH76             3.40     4.63
BH76            13.70    10.06
BH76             1.80    -1.53
BH76             6.80    12.13
BH76             3.50     5.89
BH76            20.40    11.35
BH76             1.60     1.41
BH76            33.80    14.40
BH76            14.40    18.05
BH76             8.90     4.43
BH76             2.90    -1.36
BH76            24.70    30.01
BH76            10.90     3.65
BH76            13.20    16.90
BH76             3.90    -0.44
BH76            17.20    23.72
BH76            10.40    12.63
BH76             9.90    12.66
BH76             8.90     6.73
BH76            22.00    26.94
BH76             9.80     7.74
BH76            19.40    24.03
BH76            11.30    14.95
BH76            17.80    14.98
BH76            13.90    17.93
BH76            16.90    14.03
BH76            39.70    43.77
BH76            39.70    43.77
BH76           -64.91   -72.79
BH76           -26.32   -26.06
BH76          -103.28  -112.41
BH76           -52.64   -62.52
BH76           -32.16   -39.68
BH76           -26.12   -34.52
BH76           -20.32   -22.21
BH76           -36.71   -45.04
BH76             3.69   -12.60
BH76           -19.55   -50.85
BH76           -40.02   -50.32
BH76           -26.56   -31.64
BH76           -15.06   -30.14
BH76            -1.90   -13.29
BH76           -16.39    -1.89
BH76            -3.11    -0.37
BH76           -13.28    -1.53
BH76           -10.32    -5.43
BH76            -5.01   -13.66
BH76           -16.84    -5.45
BH76           -32.22   -13.00
BH76             5.44    13.62
BH76           -21.74   -31.37
BH76            -2.32   -13.25
BH76           -13.26   -24.16
BH76             0.42    -0.04
BH76           -13.12   -20.21
BH76            -9.56   -16.29
BH76            -6.52    -0.02
BH76            -2.96     3.90
BHDIV10         25.65    23.57
BHDIV10         56.90    55.71
BHDIV10         36.53    36.99
BHDIV10         96.17   107.75
BHDIV10         15.94    20.59
BHDIV10         13.64    12.30
BHDIV10         27.49    27.68
BHDIV10         50.24    58.77
BHDIV10         65.84    71.93
BHDIV10         64.93    88.39
BHPERI          35.30    43.08
BHPERI          30.80    33.73
BHPERI          28.10    31.44
BHPERI          39.70    43.82
BHPERI          28.30    31.81
BHPERI          35.80    42.27
BHPERI          22.30    24.79
BHPERI          18.00    21.66
BHPERI          14.50    21.70
BHPERI          26.40    39.78
BHPERI          27.60    25.50
BHPERI          20.00    17.85
BHPERI          13.80    14.60
BHPERI          11.80    14.49
BHPERI           6.50     4.96
BHPERI           4.70     3.53
BHPERI          13.10     9.14
BHPERI           5.90     1.95
BHPERI           0.50    -1.97
BHPERI          18.10    21.71
BHPERI          16.60    20.94
BHPERI          22.90    25.35
BHPERI          27.80    30.52
BHPERI          21.30    25.66
BHPERI          21.60    26.15
BHPERI          31.30    34.92
BHROT27          2.73     2.52
BHROT27          7.01     7.11
BHROT27          3.46     4.10
BHROT27          3.72     3.84
BHROT27          1.01     0.97
BHROT27          2.28     1.94
BHROT27          1.01     0.96
BHROT27          7.17     4.93
BHROT27          5.79     4.10
BHROT27          8.03     5.76
BHROT27          1.62     2.11
BHROT27          8.41     7.61
BHROT27          6.91     4.72
BHROT27          2.68     3.09
BHROT27         17.24    20.80
BHROT27         14.52    18.50
BHROT27          2.10     2.28
BHROT27          3.89     4.21
BHROT27          2.09     2.50
BHROT27          1.78     2.48
BHROT27          1.39     1.95
BHROT27          6.30     6.19
BHROT27          3.35     3.76
BHROT27         10.36    15.90
BHROT27         10.24    16.06
BHROT27         17.20    19.58
BHROT27         17.08    19.73
BSR36            9.54    11.31
BSR36            9.50    10.27
BSR36           11.09    12.80
BSR36            8.85     9.89
BSR36            8.64     8.85
BSR36           10.81    11.05
BSR36           12.74    14.23
BSR36           11.70    12.49
BSR36           13.20    14.86
BSR36           11.07    13.04
BSR36           12.49    14.60
BSR36           12.35    14.61
BSR36           10.99    12.01
BSR36            9.83    11.03
BSR36           14.27    16.53
BSR36            2.24     4.79
BSR36           10.56    13.32
BSR36            6.11     9.05
BSR36           14.67    17.48
BSR36           10.21    14.17
BSR36            9.78    12.99
BSR36            8.72    12.72
BSR36           10.10    13.52
BSR36            9.47    12.57
BSR36           18.55    25.08
BSR36            8.93    15.72
BSR36           14.56    19.78
BSR36           25.52    30.55
BSR36           22.86    29.23
BSR36           27.25    33.38
BSR36           24.96    28.09
BSR36           26.82    35.88
BSR36           38.34    47.70
BSR36           31.09    41.03
BSR36           49.82    59.51
BSR36           45.46    59.89
BUT14DIOL        0.15    -0.30
BUT14DIOL        0.30     0.76
BUT14DIOL        1.31     1.22
BUT14DIOL        1.44     0.85
BUT14DIOL        1.72     0.51
BUT14DIOL        2.07     1.91
BUT14DIOL        1.77     2.33
BUT14DIOL        2.25     1.63
BUT14DIOL        2.03     2.01
BUT14DIOL        2.10     1.62
BUT14DIOL        2.00     2.07
BUT14DIOL        2.15     2.07
BUT14DIOL        2.22     1.65
BUT14DIOL        2.42     1.32
BUT14DIOL        2.23     2.50
BUT14DIOL        2.25     2.40
BUT14DIOL        2.58     2.24
BUT14DIOL        2.59     2.13
BUT14DIOL        2.63     2.42
BUT14DIOL        2.48     2.86
BUT14DIOL        2.74     2.36
BUT14DIOL        2.55     2.80
BUT14DIOL        2.53     3.03
BUT14DIOL        2.72     2.62
BUT14DIOL        2.69     2.53
BUT14DIOL        2.49     3.41
BUT14DIOL        2.72     2.84
BUT14DIOL        2.83     2.55
BUT14DIOL        2.85     2.34
BUT14DIOL        2.85     2.34
BUT14DIOL        2.52     3.26
BUT14DIOL        2.63     3.05
BUT14DIOL        3.10     1.94
BUT14DIOL        2.72     2.55
BUT14DIOL        2.83     2.26
BUT14DIOL        2.79     2.68
BUT14DIOL        2.79     2.91
BUT14DIOL        3.06     2.23
BUT14DIOL        3.10     3.39
BUT14DIOL        3.30     3.11
BUT14DIOL        3.15     3.39
BUT14DIOL        3.29     3.06
BUT14DIOL        3.59     2.83
BUT14DIOL        3.18     2.84
BUT14DIOL        3.18     2.84
BUT14DIOL        3.37     2.52
BUT14DIOL        3.45     2.34
BUT14DIOL        3.33     2.93
BUT14DIOL        3.33     2.93
BUT14DIOL        3.37     2.52
BUT14DIOL        3.61     2.85
BUT14DIOL        3.42     3.20
BUT14DIOL        3.15     3.37
BUT14DIOL        3.31     3.27
BUT14DIOL        3.45     2.92
BUT14DIOL        3.32     3.75
BUT14DIOL        3.57     3.02
BUT14DIOL        3.52     3.28
BUT14DIOL        3.50     3.42
BUT14DIOL        3.65     3.07
BUT14DIOL        3.78     2.85
BUT14DIOL        4.15     4.05
BUT14DIOL        4.31     3.70
BUT14DIOL        4.70     4.08
C60ISO          37.40    45.79
C60ISO          56.87    69.79
C60ISO          56.89    70.19
C60ISO          69.89    86.75
C60ISO         100.48   128.14
C60ISO         111.72   140.97
C60ISO         142.18   181.27
C60ISO         143.96   179.80
C60ISO         164.88   203.63
CARBHB12         5.37     3.85
CARBHB12         6.05     7.13
CARBHB12         2.42     2.30
CARBHB12         9.97    14.89
CARBHB12         2.36     2.05
CARBHB12         3.02     3.50
CARBHB12         1.21     1.16
CARBHB12         4.18     6.75
CARBHB12         7.84     6.66
CARBHB12        10.48    16.31
CARBHB12         3.24     3.17
CARBHB12        16.30    28.24
CDIE20          -3.30     0.61
CDIE20           4.40     6.13
CDIE20          -5.90    -5.16
CDIE20          -4.80    -1.29
CDIE20          -2.50     1.51
CDIE20           4.00     5.76
CDIE20           4.50     5.92
CDIE20           1.70     1.78
CDIE20           2.90     2.77
CDIE20           3.70     5.68
CDIE20           1.20     2.30
CDIE20           3.70     5.83
CDIE20           3.80     5.91
CDIE20           4.40     6.37
CDIE20           4.20     4.08
CDIE20           1.60    -0.15
CDIE20           4.20     4.06
CDIE20           5.90     7.66
CDIE20           5.80     5.68
CDIE20           8.60     9.19
CHB6           -34.43   -37.20
CHB6           -23.83   -24.02
CHB6           -17.83   -16.46
CHB6           -39.09   -43.26
CHB6           -25.63   -28.21
CHB6           -19.90   -16.99
DARC           -45.40   -57.14
DARC           -60.80   -75.11
DARC           -29.90   -38.19
DARC           -33.60   -42.49
DARC           -37.60   -46.93
DARC           -49.00   -59.28
DARC           -14.00   -21.80
DARC           -15.90   -23.36
DARC           -16.80   -25.76
DARC           -18.90   -27.44
DARC           -31.70   -37.10
DARC           -32.20   -37.41
DARC           -34.20   -40.73
DARC           -34.60   -40.89
DC13            -1.00     4.93
DC13            -7.70   -34.23
DC13           -15.20   -14.65
DC13           -18.80   -21.17
DC13           -22.90   -43.16
DC13           -25.70   -10.31
DC13           -38.90   -57.81
DC13           -92.00   -87.30
DC13          -106.00   -76.73
DC13           109.92    99.12
DC13           -65.30   -92.61
DC13           -58.70   -84.42
DC13           152.60   147.76
DIPCS10        529.20   521.58
DIPCS10        667.10   681.61
DIPCS10        655.80   653.32
DIPCS10        626.90   627.91
DIPCS10        776.50   768.00
DIPCS10        747.60   763.13
DIPCS10        733.00   731.82
DIPCS10        649.60   642.16
DIPCS10        522.10   518.13
DIPCS10        634.80   629.72
FH51          -150.81  -146.47
FH51          -144.38  -136.79
FH51           -89.35   -92.33
FH51           -82.55   -68.82
FH51           -78.51   -82.83
FH51           -66.96   -79.69
FH51           -63.89   -57.68
FH51           -58.53   -57.82
FH51           -56.64   -60.12
FH51           -52.85   -31.40
FH51           -52.60   -64.30
FH51           -46.72   -51.48
FH51           -44.82   -47.58
FH51           -43.67   -47.23
FH51           -42.89   -50.81
FH51           -37.08   -42.94
FH51           -34.93   -40.62
FH51           -32.47   -49.18
FH51           -32.10   -36.39
FH51           -31.22   -32.25
FH51           -29.98   -30.95
FH51           -25.84   -30.21
FH51           -23.47   -28.13
FH51           -22.45   -23.25
FH51           -20.27   -27.53
FH51           -19.72   -30.22
FH51           -19.34   -32.77
FH51           -19.45    -8.64
FH51           -17.39   -66.92
FH51           -16.98   -16.38
FH51           -16.14   -22.48
FH51           -14.30   -13.55
FH51           -13.14   -14.84
FH51           -11.68   -17.27
FH51           -10.70   -12.30
FH51            -9.39    19.18
FH51            -8.53   -51.03
FH51            -6.63   -12.19
FH51            -6.65    -6.41
FH51            -6.45   -11.32
FH51            -5.11    -5.97
FH51            -3.25   -11.84
FH51            -2.64    -4.07
FH51            -2.48    -2.56
FH51            -2.11    -2.88
FH51            -1.47    -3.84
FH51            -1.15    -0.35
FH51            -0.86    -0.92
FH51            -0.43    -2.42
FH51            -0.41    -1.85
FH51            -0.18    -2.27
G21EA           29.20    27.03
G21EA           33.70    27.56
G21EA           78.40    67.48
G21EA           32.10    25.30
G21EA           17.30    14.62
G21EA           48.00    47.04
G21EA           83.50    82.20
G21EA           27.90    22.31
G21EA           13.40     2.97
G21EA            1.20   -15.93
G21EA            8.30    -1.45
G21EA           16.80     4.87
G21EA           41.70    30.49
G21EA           29.30    22.69
G21EA           25.10    19.86
G21EA           31.40    24.42
G21EA           23.50    18.31
G21EA           28.80    21.88
G21EA           54.20    47.04
G21EA            9.50     4.76
G21EA           -0.20    -2.85
G21EA           89.50    68.97
G21EA           24.90    15.87
G21EA           38.00    34.07
G21EA           54.70    67.77
G21IP          314.90   310.21
G21IP          123.30   125.57
G21IP          214.90   213.55
G21IP          190.40   202.39
G21IP          259.60   273.50
G21IP          335.30   338.58
G21IP          313.80   326.37
G21IP          401.70   411.29
G21IP          118.50   115.84
G21IP          176.30   178.37
G21IP          138.00   142.77
G21IP          188.00   194.30
G21IP          241.90   242.20
G21IP          239.00   242.38
G21IP          299.10   302.16
G21IP          296.34   295.33
G21IP          235.69   228.56
G21IP          300.92   304.86
G21IP          292.65   286.52
G21IP          371.31   366.50
G21IP          255.39   258.49
G21IP          234.11   235.20
G21IP          226.37   226.91
G21IP          227.82   222.54
G21IP          239.30   240.50
G21IP          294.46   293.48
G21IP          264.58   261.86
G21IP          243.71   236.95
G21IP          322.99   308.62
G21IP          359.37   353.50
G21IP          277.73   288.44
G21IP          242.85   247.53
G21IP          215.74   219.90
G21IP          265.08   265.65
G21IP          291.70   293.65
G21IP          261.15   254.00
G2RC            -2.23   -20.50
G2RC            -2.26    -1.84
G2RC            -2.18    38.27
G2RC            -4.10    -2.90
G2RC            -7.10   -51.11
G2RC           -10.70   -16.83
G2RC           -19.47   -33.49
G2RC           -26.97   -36.82
G2RC           -27.30   -24.64
G2RC           -27.15   -19.45
G2RC           -24.89   -16.04
G2RC           -29.46   -37.90
G2RC           -32.71   -44.11
G2RC           -36.32   -53.36
G2RC           -39.43   -61.61
G2RC           -48.52   -46.18
G2RC           -49.20   -56.66
G2RC           -61.67  -102.17
G2RC           -65.15  -113.62
G2RC           -68.90   -67.30
G2RC           -81.21   -74.25
G2RC          -109.11  -120.82
G2RC          -135.40  -125.91
G2RC          -154.04  -178.94
G2RC          -216.11  -218.10
HAL59            1.16    -0.33
HAL59            4.81     1.48
HAL59           10.54     9.52
HAL59            4.40     3.98
HAL59            6.12     4.64
HAL59            1.49     0.56
HAL59            2.11     1.31
HEAVYSB11       67.85    52.93
HEAVYSB11       61.85    57.67
HEAVYSB11       59.65    44.78
ICONF            0.90     2.62
ICONF            5.29     5.83
ICONF            0.13     5.09
ICONF            2.33     7.90
ICONF           12.16    11.14
ICONF            0.10     0.46
ICONF            1.03     0.90
ICONF            3.51     3.48
ICONF            1.69     1.27
ICONF            1.40     0.70
ICONF            4.39     2.29
ICONF            9.16     6.85
ICONF            0.55     0.50
ICONF            3.55     2.97
ICONF            1.33     1.77
ICONF            3.66     4.68
ICONF            4.35     4.57
IDISP           -9.15   -19.09
IDISP          -60.28   -66.95
IDISP           -1.21    -3.36
IDISP            9.10     7.36
IDISP           -3.64    -2.34
IDISP           -1.96     1.06
IL16          -100.41   -92.74
IL16          -120.80  -120.88
IL16          -116.91  -119.96
IL16          -105.01   -97.85
IL16          -104.44  -104.27
IL16           -87.42   -82.89
IL16          -114.00  -107.76
IL16          -113.51  -107.00
IL16          -114.91  -108.22
IL16          -112.75  -113.00
IL16          -104.47   -99.68
IL16          -118.19  -111.02
IL16          -112.02  -109.37
IL16          -106.53  -102.77
IL16          -110.98  -107.51
IL16          -102.37  -103.62
INV24           31.70    31.16
INV24           69.30    73.06
INV24           60.60    75.16
INV24           37.00    28.36
INV24           74.20    75.77
INV24            9.70     3.49
INV24           18.90    19.25
INV24           43.20    41.83
INV24           79.70   106.35
INV24           31.20    34.26
INV24           29.30    29.18
INV24           10.30    10.01
INV24            4.50     4.85
INV24           24.70    27.07
INV24           37.60    40.99
INV24            4.10     4.73
INV24           13.10    13.55
INV24           11.20     4.79
INV24            6.20     5.34
INV24           21.30    13.96
INV24           42.30    33.39
INV24           27.20    28.69
INV24            8.40     3.50
INV24           68.60    60.36
ISO34            1.49     0.18
ISO34           23.36    22.39
ISO34            7.27     4.37
ISO34            1.06     0.26
ISO34            1.23     2.05
ISO34            2.49     3.34
ISO34           11.15     6.86
ISO34           22.59    25.02
ISO34            6.54     7.25
ISO34            3.80     4.72
ISO34            1.58     2.88
ISO34           45.65    48.65
ISO34           36.85    39.65
ISO34           24.58    40.27
ISO34            8.25     7.82
ISO34           10.02     5.47
ISO34           28.51    28.31
ISO34           11.68    12.49
ISO34            4.58     6.77
ISO34           18.12    18.90
ISO34            1.16     1.38
ISO34            4.65     3.51
ISO34            5.54     3.78
ISO34           12.26    11.39
ISO34           26.14    22.38
ISO34           17.14    18.50
ISO34           66.06    65.28
ISO34           31.26    28.34
ISO34           13.05    18.95
ISO34            9.98    11.87
ISO34           15.23    21.89
ISO34            6.64    12.51
ISO34            8.70     5.58
ISO34            6.77     7.81
ISOL24          71.01    73.12
ISOL24          38.50    45.98
ISOL24          10.69    15.51
ISOL24          69.03    78.22
ISOL24          33.08    42.03
ISOL24          24.41    45.69
ISOL24          17.88    21.10
ISOL24          22.04     4.11
ISOL24          21.09    22.76
ISOL24           6.49     3.35
ISOL24          36.90    55.02
ISOL24           0.42     1.15
ISOL24          33.02    31.59
ISOL24           5.32     3.40
ISOL24           4.14     8.03
ISOL24          23.00    23.01
ISOL24           9.83    15.92
ISOL24          24.14    17.82
ISOL24          18.04    15.52
ISOL24           4.97     2.14
ISOL24          11.90    19.10
ISOL24          -0.14    -6.26
ISOL24          24.61    25.48
ISOL24          15.40    16.63
MB16-43        869.60   928.82
MB16-43        737.79   721.56
MB16-43        518.66   461.32
MB16-43        356.85   265.82
MB16-43        147.68   151.11
MB16-43        368.49   311.89
MB16-43        557.98   576.06
MB16-43        681.96   629.28
MB16-43        381.43   360.51
MB16-43         46.31     2.67
MB16-43        294.41   243.90
MB16-43        453.06   419.20
MB16-43         19.88    98.13
MB16-43        384.89   323.72
MB16-43        216.10   163.03
MB16-43        326.76   190.11
MB16-43        653.59   596.96
MB16-43        580.86   581.09
MB16-43        664.56   641.56
MB16-43        242.81   226.09
MB16-43        806.23   760.95
MB16-43        706.20   696.31
MB16-43        215.39   128.70
MB16-43       1070.64  1043.58
MB16-43        322.49   295.69
MB16-43        373.67   348.79
MB16-43        114.97   119.05
MB16-43        325.12   351.60
MB16-43        695.10   678.71
MB16-43       1290.74  1256.23
MB16-43        534.90   496.34
MB16-43        685.58   657.74
MB16-43        312.69   302.51
MB16-43        538.26   506.17
MB16-43        228.17   120.72
MB16-43        552.85   569.99
MB16-43        629.78   561.24
MB16-43         98.19    74.69
MB16-43        436.40   436.01
MB16-43       -362.98  -488.50
MB16-43        160.29   113.33
MB16-43        754.65   733.07
MB16-43        421.97   452.54
MCONF            0.39     1.16
MCONF            1.74     1.79
MCONF            1.16     1.56
MCONF            2.20     2.64
MCONF            2.20     2.96
MCONF            2.68     3.02
MCONF            2.92     3.05
MCONF            2.23     2.32
MCONF            2.84     3.49
MCONF            4.24     4.38
MCONF            4.45     4.52
MCONF            3.60     3.67
MCONF            2.25     2.82
MCONF            3.74     3.91
MCONF            5.00     5.39
MCONF            5.11     5.14
MCONF            3.18     3.53
MCONF            3.83     4.16
MCONF            3.80     4.53
MCONF            3.11     3.41
MCONF            5.27     5.63
MCONF            5.31     5.70
MCONF            4.50     4.83
MCONF            3.85     3.89
MCONF            4.55     4.91
MCONF            4.76     5.18
MCONF            4.37     4.96
MCONF            5.27     5.33
MCONF            5.67     5.78
MCONF            4.86     5.47
MCONF            6.24     6.66
MCONF            6.26     6.72
MCONF            5.85     6.23
MCONF            5.37     5.86
MCONF            5.53     5.86
MCONF            7.53     7.57
MCONF            5.88     6.20
MCONF            5.58     6.05
MCONF            6.98     7.32
MCONF            7.07     7.43
MCONF            6.39     6.58
MCONF            7.32     7.66
MCONF            7.39     7.75
MCONF            6.18     7.00
MCONF            7.82     8.06
MCONF            7.89     8.11
MCONF            6.74     6.94
MCONF            8.19     8.41
MCONF            8.20     8.42
MCONF            7.28     7.82
MCONF            8.75     9.33
NBPRC          -32.10   -29.94
NBPRC           -0.20     0.15
NBPRC           37.60    44.04
NBPRC          -19.50   -27.32
NBPRC          -48.90   -54.72
NBPRC          -46.10   -56.47
NBPRC          -25.20   -19.31
NBPRC           40.40    46.69
NBPRC          -15.20   -24.31
NBPRC           18.50    31.75
NBPRC          -31.20   -38.24
NBPRC           17.60    24.92
PA26           167.20   171.33
PA26           192.90   204.22
PA26           209.20   221.30
PA26           219.20   231.77
PA26           211.90   221.58
PA26           171.40   175.00
PA26           157.40   157.92
PA26           156.90   157.98
PA26           192.80   198.11
PA26           174.30   178.70
PA26           137.80   138.64
PA26           106.20   100.14
PA26           120.80   112.94
PA26           191.90   196.18
PA26           190.90   195.82
PA26           218.20   224.80
PA26           200.40   209.08
PA26           210.20   213.71
PA26           188.30   193.64
PA26           181.90   185.20
PA26           221.30   224.88
PA26           219.60   234.97
PA26           192.90   205.52
PA26           210.70   215.24
PA26           236.00   247.52
PA26           235.10   246.82
PArel            1.61     1.52
PArel            8.50     9.08
PArel            2.94     1.96
PArel            6.22     8.56
PArel            7.19     9.39
PArel            2.38     2.84
PArel            1.19    -0.07
PArel            0.79     1.47
PArel            7.05     7.91
PArel            2.98     2.24
PArel            3.41     2.71
PArel            3.21     2.14
PArel            0.60     5.22
PArel            7.21     5.60
PArel            2.36     1.23
PArel           17.88    12.71
PArel           11.20    -2.72
PArel            1.27    -7.00
PArel            2.47     5.52
PArel            2.15     3.49
PCONF21          0.02    -3.78
PCONF21          1.01    -2.13
PCONF21          0.70     2.13
PCONF21          0.85    -2.51
PCONF21          0.78     1.43
PCONF21          1.92    -1.67
PCONF21          2.18     0.92
PCONF21          1.61     1.41
PCONF21          1.89    -0.35
PCONF21          2.07    -2.39
PCONF21          1.07     3.45
PCONF21          1.23     4.37
PCONF21          2.44     4.24
PCONF21          2.14     2.08
PCONF21          1.47     4.05
PCONF21          2.80     5.95
PCONF21          2.27     3.57
PCONF21          2.74     2.84
PNICO23          1.43     1.05
PNICO23          8.02     4.74
PNICO23          0.64     0.16
PNICO23          4.26     2.49
PNICO23          2.86     1.88
PNICO23          1.32     0.98
PNICO23          4.29     2.80
PNICO23          2.63     1.72
PNICO23          4.91     4.27
PNICO23          2.21     1.36
PNICO23          1.40     0.71
PNICO23          2.62     1.48
PNICO23          3.98     2.14
PNICO23          4.10     2.38
PNICO23          4.34     2.84
PNICO23          1.78     0.65
PNICO23          7.10     3.37
PNICO23          2.35     1.29
PNICO23          5.95     2.39
PNICO23          8.18     5.58
PNICO23          4.92     3.19
PNICO23          8.03     5.39
PNICO23         10.97     7.38
PX13            59.30    62.86
PX13            46.90    38.10
PX13            48.40    43.58
PX13            48.60    46.24
PX13            29.80    18.77
PX13            26.60    11.53
PX13            30.10    10.65
PX13            35.10    11.60
PX13            42.30    33.70
PX13            20.70     6.12
PX13            14.70    -1.43
PX13            14.60    -4.13
PX13            16.60    -5.42
RC21            23.43    39.44
RC21            26.66    39.55
RC21            24.74    37.85
RC21            59.44    61.87
RC21            57.93    69.86
RC21            36.56    40.44
RC21            17.91    18.06
RC21            16.80    16.15
RC21            49.85    60.79
RC21            45.16    51.49
RC21            22.24    23.05
RC21            -6.72   -10.20
RC21            21.21    19.71
RC21            22.03    39.19
RC21            28.12    39.69
RC21            -0.73    17.92
RC21            50.66    78.47
RC21            30.38    42.19
RC21            49.73    60.44
RC21            32.81    75.06
RC21           126.56   151.68
RG18             0.08     0.05
RG18             0.27     0.31
RG18             0.27     0.15
RG18             0.77     0.79
RG18             0.54     0.31
RG18             1.51     1.45
RG18             1.13     0.66
RG18             0.23    -0.85
RG18             0.59     0.51
RG18             0.12    -1.13
RG18             0.33     0.18
RG18             0.24    -0.56
RG18             0.54     0.46
RG18             0.40    -0.36
RG18             1.12     1.09
